,bill_number,display_name,first_name,id,last_name,party,state
1,0,Abraham (R-MI),Spencer,S238,Abraham,R,MI
2,0,Akaka (D-HI),Daniel,S213,Akaka,D,HI
3,0,Allard (R-CO),Wayne,S250,Allard,R,CO
4,0,Ashcroft (R-MO),John,S239,Ashcroft,R,MO
5,0,Baucus (D-MT),Max,S127,Baucus,D,MT
6,0,Bennett (R-UT),Robert,S231,Bennett,R,UT
7,0,Biden (D-DE),Joseph,S010,Biden,D,DE
8,0,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
9,0,Bond (R-MO),Christopher,S200,Bond,R,MO
10,0,Boxer (D-CA),Barbara,S223,Boxer,D,CA
11,0,Breaux (D-LA),John,S179,Breaux,D,LA
12,0,Brownback (R-KS),Sam,S249,Brownback,R,KS
13,0,Bryan (D-NV),Richard,S206,Bryan,D,NV
14,0,Bumpers (D-AR),Dale,S014,Bumpers,D,AR
15,0,Burns (R-MT),Conrad,S211,Burns,R,MT
16,0,Byrd (D-WV),Robert,S017,Byrd,D,WV
17,0,Campbell (R-CO),Ben,S225,Campbell,R,CO
18,0,Chafee (R-RI),John,S116,Chafee,R,RI
19,0,Cleland (D-GA),Max,S251,Cleland,D,GA
20,0,Coats (R-IN),Dan,S212,Coats,R,IN
21,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
22,0,Collins (R-ME),Susan,S252,Collins,R,ME
23,0,Conrad (D-ND),Kent,S201,Conrad,D,ND
24,0,Coverdell (R-GA),Paul,S228,Coverdell,R,GA
25,0,Craig (R-ID),Larry,S215,Craig,R,ID
26,0,D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY
27,0,Daschle (D-SD),Thomas,S185,Daschle,D,SD
28,0,DeWine (R-OH),Mike,S240,DeWine,R,OH
29,0,Dodd (D-CT),Christopher,S150,Dodd,D,CT
30,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
31,0,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
32,0,Durbin (D-IL),Richard,S253,Durbin,D,IL
33,0,Enzi (R-WY),Michael,S254,Enzi,R,WY
34,0,Faircloth (R-NC),Lauch,S227,Faircloth,R,NC
35,0,Feingold (D-WI),Russell,S230,Feingold,D,WI
36,0,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
37,0,Ford (D-KY),Wendell,S033,Ford,D,KY
38,0,Frist (R-TN),Bill,S241,Frist,R,TN
39,0,Glenn (D-OH),John,S035,Glenn,D,OH
40,0,Gorton (R-WA),Slade,S152,Gorton,R,WA
41,0,Graham (D-FL),Bob,S199,Graham,D,FL
42,0,Gramm (R-TX),Phil,S171,Gramm,R,TX
43,0,Grams (R-MN),Rod,S242,Grams,R,MN
44,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
45,0,Gregg (R-NH),Judd,S224,Gregg,R,NH
46,0,Hagel (R-NE),Chuck,S255,Hagel,R,NE
47,0,Harkin (D-IA),Tom,S172,Harkin,D,IA
48,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
49,0,Helms (R-NC),Jesse,S046,Helms,R,NC
50,0,Hollings (D-SC),Ernest,S047,Hollings,D,SC
51,0,Hutchinson (R-AR),Tim,S256,Hutchinson,R,AR
52,0,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
53,0,Inhofe (R-OK),James,S236,Inhofe,R,OK
54,0,Inouye (D-HI),Daniel,S051,Inouye,D,HI
55,0,Jeffords (R-VT),James,S204,Jeffords,R,VT
56,0,Johnson (D-SD),Tim,S257,Johnson,D,SD
57,0,Kempthorne (R-ID),Dirk,S232,Kempthorne,R,ID
58,0,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
59,0,Kerrey (D-NE),J.,S208,Kerrey,D,NE
60,0,Kerry (D-MA),John,S173,Kerry,D,MA
61,0,Kohl (D-WI),Herb,S209,Kohl,D,WI
62,0,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
63,0,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
64,0,Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ
65,0,Leahy (D-VT),Patrick,S057,Leahy,D,VT
66,0,Levin (D-MI),Carl,S131,Levin,D,MI
67,0,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
68,0,Lott (R-MS),Trent,S203,Lott,R,MS
69,0,Lugar (R-IN),Richard,S105,Lugar,R,IN
70,0,Mack (R-FL),Connie,S205,Mack,R,FL
71,0,McCain (R-AZ),John,S197,McCain,R,AZ
72,0,McConnell (R-KY),Mitch,S174,McConnell,R,KY
73,0,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
74,0,Moseley-Braun (D-IL),Carol,S226,Moseley-Braun,D,IL
75,0,Moynihan (D-NY),Daniel,S113,Moynihan,D,NY
76,0,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
77,0,Murray (D-WA),Patty,S229,Murray,D,WA
78,0,Nickles (R-OK),Don,S158,Nickles,R,OK
79,0,Reed (D-RI),Jack,S259,Reed,D,RI
80,0,Reid (D-NV),Harry,S198,Reid,D,NV
81,0,Robb (D-VA),Charles,S207,Robb,D,VA
82,0,Roberts (R-KS),Pat,S260,Roberts,R,KS
83,0,Roth (R-DE),William,S083,Roth,R,DE
84,0,Santorum (R-PA),Rick,S244,Santorum,R,PA
85,0,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
86,0,Sessions (R-AL),Jeff,S261,Sessions,R,AL
87,0,Shelby (R-AL),Richard,S184,Shelby,R,AL
88,0,Smith (R-NH),Bob,S216,Smith,R,NH
89,0,Smith (R-OR),Gordon,S262,Smith,R,OR
90,0,Snowe (R-ME),Olympia,S245,Snowe,R,ME
91,0,Specter (R-PA),Arlen,S161,Specter,R,PA
92,0,Stevens (R-AK),Ted,S090,Stevens,R,AK
93,0,Thomas (R-WY),Craig,S246,Thomas,R,WY
94,0,Thompson (R-TN),Fred,S237,Thompson,R,TN
95,0,Thurmond (R-SC),Strom,S096,Thurmond,R,SC
96,0,Torricelli (D-NJ),Robert,S263,Torricelli,D,NJ
97,0,Warner (R-VA),John,S143,Warner,R,VA
98,0,Wellstone (D-MN),Paul,S217,Wellstone,D,MN
99,0,Wyden (D-OR),Ron,S247,Wyden,D,OR
100,1,Abraham (R-MI),Spencer,S238,Abraham,R,MI
101,1,Akaka (D-HI),Daniel,S213,Akaka,D,HI
102,1,Allard (R-CO),Wayne,S250,Allard,R,CO
103,1,Ashcroft (R-MO),John,S239,Ashcroft,R,MO
104,1,Baucus (D-MT),Max,S127,Baucus,D,MT
105,1,Bennett (R-UT),Robert,S231,Bennett,R,UT
